"Bulk Edit Items"
"Barcode","Item Code","Supplier Part Number","Item Name","Barcode Name","Description","Image","Total","Pass","Reject","Note","UOM","Stock UOM","Conversion Factor","Retain Sample","Sample Quantity","Price List Rate","Discount on Price List Rate (%)","Discount Amount","Price List Rate (Company Currency)","Rate","Amount","Rate (Company Currency)","Amount (Company Currency)","Pricing Rule","Net Rate","Net Amount","Net Rate (Company Currency)","Net Amount (Company Currency)","Weight Per Unit","Total Weight","Weight UOM","Accepted Warehouse","Rejected Warehouse","Quality Inspection","Is Fixed Asset","Asset","Asset Location","Purchase Order","Required By","Qty as per Stock UOM","Serial No","Batch No","Rejected Serial No","Project","Expense Account","Cost Center","Purchase Order Item","Allow Zero Valuation Rate","BOM","Include Exploded Items","Billed Amt","Landed Cost Voucher Amount","Brand","Item Group","Raw Materials Supplied Cost","Item Tax Amount","Valuation Rate","Item Tax Rate","Page Break","DN qty"
"barcode","item_code","supplier_part_no","item_name","barcode_name","description","image","received_qty","qty","rejected_qty","note","uom","stock_uom","conversion_factor","retain_sample","sample_quantity","price_list_rate","discount_percentage","discount_amount","base_price_list_rate","rate","amount","base_rate","base_amount","pricing_rule","net_rate","net_amount","base_net_rate","base_net_amount","weight_per_unit","total_weight","weight_uom","warehouse","rejected_warehouse","quality_inspection","is_fixed_asset","asset","asset_location","purchase_order","schedule_date","stock_qty","serial_no","batch_no","rejected_serial_no","project","expense_account","cost_center","purchase_order_item","allow_zero_valuation_rate","bom","include_exploded_items","billed_amt","landed_cost_voucher_amount","brand","item_group","rm_supp_cost","item_tax_amount","valuation_rate","item_tax_rate","page_break","dn_qty"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," dd-mm-yyyy"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges "," "," "
"The CSV format is case sensitive"
"Do not edit headers which are preset in the template"
"------"
"","HWKY-TG-HGGR-KBIB-XS","","Headguard KBI Blue XS XS ","","Headguard KBI Blue XS XS","",2,2,"","Inbound Hawkeye 25 November 2021","Unit","Unit",1,"","","","","","","","","","","","","","","","","","","Gudang PTS - HWKY","","","","","","SPK-1121-ALL-123","25-11-2021",2,"","","","","Cost of Goods Sold - HWKY","Main - HWKY","f6953e96df","","","","","","Hawkeye","TRAINING GEAR - HWKY","","","","{}","",""
"","HWKY-TG-HGGR-KBIB-S","","Headguard KBI Blue S S ","","Headguard KBI Blue S S","",1,1,"","","Unit","Unit",1,"","","","","","","","","","","","","","","","","","","Gudang PTS - HWKY","","","","","","SPK-1121-ALL-123","25-11-2021",1,"","","","","Cost of Goods Sold - HWKY","Main - HWKY","4d4c18233c","","","","","","Hawkeye","TRAINING GEAR - HWKY","","","","{}","",""
"","HWKY-TG-HGGR-KBIB-M","","Headguard KBI Blue M M ","","Headguard KBI Blue M M","",1,1,"","","Unit","Unit",1,"","","","","","","","","","","","","","","","","","","Gudang PTS - HWKY","","","","","","SPK-1121-ALL-123","25-11-2021",1,"","","","","Cost of Goods Sold - HWKY","Main - HWKY","074a892d37","","","","","","Hawkeye","TRAINING GEAR - HWKY","","","","{}","",""
"","HWKY-TG-HGGR-KBIB-L","","Headguard KBI Blue L L ","","Headguard KBI Blue L L","",1,1,"","","Unit","Unit",1,"","","","","","","","","","","","","","","","","","","Gudang PTS - HWKY","","","","","","SPK-1121-ALL-123","25-11-2021",1,"","","","","Cost of Goods Sold - HWKY","Main - HWKY","05edefda7b","","","","","","Hawkeye","TRAINING GEAR - HWKY","","","","{}","",""
"","HWKY-TG-HGGR-KBIB-XL","","Headguard KBI Blue XL XL ","","Headguard KBI Blue XL XL","",1,1,"","","Unit","Unit",1,"","","","","","","","","","","","","","","","","","","Gudang PTS - HWKY","","","","","","SPK-1121-ALL-123","25-11-2021",1,"","","","","Cost of Goods Sold - HWKY","Main - HWKY","74fee62cdd","","","","","","Hawkeye","TRAINING GEAR - HWKY","","","","{}","",""
